SymbolID,SymbolTypeID,SymbolValue,ExchangeID,ObjectID,SymbolStartDate,SymbolEndDate,ActiveFlag,PrimaryFlag,ProcessType
245208746,8596,BBG000PNKL84,810,34205225,01/14/2016,NULL,1,0,U
261324678,8596,BBG000R18YM0,106,34276721,01/14/2016,NULL,1,1,U
245306449,8596,BBG000DQ1559,104,2629218,NULL,NULL,1,0,U
250694774,8609,MKTY,104,2629218,NULL,NULL,1,0,U
251927022,8611,399432503849,104,2629218,NULL,NULL,1,0,U
254806088,8610,BBG000DQ1559,104,2629218,NULL,NULL,1,0,U
255611108,11127,MKTY,104,2629218,NULL,NULL,1,0,U
295576614,8596,BBG000KP54G0,117,30370620,09/17/2014,NULL,1,1,U
295576615,8609,CREX,117,30370620,09/17/2014,NULL,1,1,U
295576616,8610,BBG000KP54G0,117,30370620,09/17/2014,NULL,1,1,U
295576617,8611,399432591709,117,30370620,09/17/2014,NULL,1,1,U
295576618,11127,CREX,117,30370620,09/17/2014,NULL,1,1,U
245166777,8596,BBG000FSY520,104,29394900,NULL,NULL,1,0,U
250776846,8609,ESOA,104,29394900,NULL,NULL,1,0,U
251906030,8611,399432644320,104,29394900,NULL,NULL,1,0,U
254716558,8610,BBG000FSY520,104,29394900,NULL,NULL,1,0,U
255637164,11127,ESOA,104,29394900,NULL,NULL,1,0,U
261562319,8611,399485703717,810,308384746,07/31/2015,NULL,1,1,U
261562320,8596,BBG009QTF396,810,308384746,07/31/2015,NULL,1,1,U
261562321,8610,BBG009QTF396,810,308384746,07/31/2015,NULL,1,1,U
261562322,8609,CIL,810,308384746,07/31/2015,NULL,1,1,U
261562323,11127,CIL,810,308384746,07/31/2015,NULL,1,1,U
285206004,8611,399490457568,104,322108307,01/04/2016,NULL,1,1,U
285206005,8596,BBG00BT79C75,104,322108307,01/04/2016,NULL,1,1,U
285206006,8610,BBG00BT79C75,104,322108307,01/04/2016,NULL,1,1,U
285206007,8609,DFND,104,322108307,01/04/2016,NULL,1,1,U
285206008,11127,DFND,104,322108307,01/04/2016,NULL,1,1,U
287819734,8596,BBG00B9RG1J6,106,315552874,10/27/2015,08/18/2017,0,1,U
287819736,8609,PAAC,106,315552874,10/27/2015,08/18/2017,0,1,U
287819737,11127,PAAC,106,315552874,10/27/2015,08/18/2017,0,1,U
285973114,8596,BBG001CPMPK6,106,324463029,12/23/2015,12/22/2020,0,1,U
285973116,8609,PTI,106,324463029,12/23/2015,12/22/2020,0,1,U
285973117,11127,PTI,106,324463029,12/23/2015,12/22/2020,0,1,U
261575459,8596,BBG00C863MR0,106,327155386,02/19/2016,NULL,1,1,U
245309746,8596,BBG000PT5SS1,173,28624450,02/25/2016,NULL,1,0,U
249799593,8609,ASTI,173,28624450,02/25/2016,NULL,1,0,U
252050420,8611,399432702267,173,28624450,02/25/2016,NULL,1,0,U
254929624,8610,BBG000PT5SS1,173,28624450,02/25/2016,NULL,1,0,U
255551935,11127,ASTI,173,28624450,02/25/2016,NULL,1,0,U
248588229,8611,399467782697,104,206612753,08/31/2015,NULL,1,1,U
248588230,8596,BBG004X8X0L7,104,206612753,08/31/2015,NULL,1,1,U
248588231,8610,BBG004X8X0L7,104,206612753,08/31/2015,NULL,1,1,U
248588232,8609,DGRE,104,206612753,08/31/2015,NULL,1,1,U
248588233,11127,DGRE,104,206612753,08/31/2015,NULL,1,1,U
308060018,8611,399507613339,173,280408762,06/28/2017,NULL,1,1,U
308060019,8596,BBG00H1SDPV5,173,280408762,06/28/2017,NULL,1,1,U
308060020,8610,BBG00H1SDPV5,173,280408762,06/28/2017,NULL,1,1,U
308060021,8609,GSSC,173,280408762,06/28/2017,NULL,1,1,U
308060022,11127,GSSC,173,280408762,06/28/2017,NULL,1,1,U
310574450,8596,BBG00GGS47R6,104,434181361,04/17/2017,02/15/2022,0,1,U
314041662,8596,BBG00B9RG1J6,106,433333962,08/21/2017,NULL,1,0,U
352089826,8596,BBG00L8YYP89,173,571968772,06/22/2018,NULL,1,0,U
352090410,8609,GLDM,173,571968772,06/22/2018,NULL,1,0,U
352090462,8611,399521304312,173,571968772,06/22/2018,NULL,1,0,U
352090466,8610,BBG00L8YYP89,173,571968772,06/22/2018,NULL,1,0,U
352090517,11127,GLDM,173,571968772,06/22/2018,NULL,1,0,U
354410369,8596,BBG00LGRG151,810,574937637,07/21/2018,NULL,1,0,U
354410612,8609,SZNE,810,574937637,07/21/2018,NULL,1,0,U
354411024,8611,399522220662,810,574937637,07/21/2018,NULL,1,0,U
354411262,8610,BBG00LGRG151,810,574937637,07/21/2018,NULL,1,0,U
354411383,11127,SZNE,810,574937637,07/21/2018,NULL,1,0,U
281157131,8596,BBG00DL9GZJ3,104,404363073,10/06/2016,NULL,1,0,U
281157191,8611,399498626708,104,404363073,10/06/2016,NULL,1,0,U
281157208,8610,BBG00DL9GZJ3,104,404363073,10/06/2016,NULL,1,0,U
374906107,8609,PHUN,104,404363073,10/06/2016,NULL,1,0,U
374906324,11127,PHUN,104,404363073,10/06/2016,NULL,1,0,U
360435237,8596,BBG00M174WD5,106,576937652,09/20/2018,NULL,1,0,U
360443108,8609,SDGA,106,576937652,09/20/2018,NULL,1,0,U
360443136,8611,399524588143,106,576937652,09/20/2018,NULL,1,0,U
360443168,8610,BBG00M174WD5,106,576937652,09/20/2018,NULL,1,0,U
360443229,11127,SDGA,106,576937652,09/20/2018,NULL,1,0,U
368908034,8596,BBG00MCF8J86,104,590064060,11/09/2018,NULL,1,0,U
368908913,8609,FTACU,104,590064060,11/09/2018,NULL,1,0,U
368909350,8611,399526967285,104,590064060,11/09/2018,NULL,1,0,U
368909424,8610,BBG00MCF8J86,104,590064060,11/09/2018,NULL,1,0,U
368909498,11127,FTACU,104,590064060,11/09/2018,NULL,1,0,U
373773706,8596,BBG00FF4HHX9,106,608459955,03/24/2017,NULL,1,0,U
373780957,8609,GHSI,106,608459955,03/24/2017,NULL,1,0,U
373781101,8611,399500233037,106,608459955,03/24/2017,NULL,1,0,U
373781204,8610,BBG00FF4HHX9,106,608459955,03/24/2017,NULL,1,0,U
373781239,11127,GHSI,106,608459955,03/24/2017,NULL,1,0,U
