SymbolID,SymbolTypeID,SymbolValue,ExchangeID,ObjectID,SymbolStartDate,SymbolEndDate,ActiveFlag,PrimaryFlag,ProcessType
192617659,8279,125270948,NULL,2586711,06/12/2015,07/01/2022,0,1,U
95736879,7291,453588,NULL,2593297,NULL,03/09/2020,0,1,U
156286784,7291,679350,NULL,2594925,NULL,06/09/2022,0,1,U
156286793,7866,851772,NULL,2594925,05/06/2014,06/09/2022,0,1,U
156286797,8279,7935471,NULL,2594925,05/06/2014,06/09/2022,0,1,U
190240009,7291,28272302,NULL,2600583,NULL,09/19/2019,0,1,U
146335936,8279,30115198,NULL,2600583,NULL,09/19/2019,0,1,U
142517978,8279,10232961,NULL,2602146,06/26/2001,05/12/2022,0,1,U
155984352,7291,1649537,NULL,2602615,NULL,06/14/2022,0,1,U
155984362,8279,25619102,NULL,2602615,05/06/2014,06/14/2022,0,1,U
114604487,7291,3655167,NULL,2610870,NULL,12/23/2020,0,1,U
146646266,8279,33863934,NULL,2610870,12/18/2007,12/23/2020,0,1,U
147239090,8279,72710193,NULL,2618315,02/28/2009,05/17/2022,0,1,U
144895813,8279,18398460,NULL,2626900,03/24/2003,03/25/2022,0,1,U
155993262,7866,A1T89R,NULL,2630805,05/06/2014,09/29/2021,0,1,U
155993263,8279,92084167,NULL,2630805,05/06/2014,09/29/2021,0,1,U
114826395,7291,1459550,NULL,2632220,NULL,12/14/2018,0,1,U
96161635,7866,916415,NULL,2635089,06/26/2001,04/26/2022,0,1,U
144091002,8279,11552412,NULL,2635089,06/26/2001,04/26/2022,0,1,U
95820876,7291,566911,NULL,2638172,NULL,04/27/2022,0,1,U
95821060,7866,A0DP1H,NULL,2638172,06/26/2001,04/27/2022,0,1,U
692210924,7291,32942789,NULL,2641423,06/16/2016,09/23/2022,0,0,U
692211322,8279,143760197,NULL,2641423,06/16/2016,09/23/2022,0,0,U
692411178,7291,112153284,NULL,2642514,06/16/2021,04/12/2022,0,0,U
692411781,7866,A3CSC9,NULL,2642514,06/16/2021,04/12/2022,0,0,U
175074457,8031,700117,NULL,2650515,NULL,07/31/2017,0,1,U
126692597,8038,858840,NULL,2650515,NULL,07/31/2017,0,1,U
155249789,8279,7958676,NULL,2650515,NULL,07/31/2017,0,1,U
692398516,7291,53366106,NULL,2652009,03/13/2020,06/06/2022,0,0,U
692398644,7866,A2P1UN,NULL,2652009,03/13/2020,06/06/2022,0,0,U
692398645,8279,214158663,NULL,2652009,03/13/2020,06/06/2022,0,0,U
114724781,7291,12119977,NULL,2659400,NULL,04/20/2022,0,1,U
148259139,8279,56814965,NULL,2659400,05/06/2014,04/20/2022,0,1,U
692224882,7291,35345907,NULL,2663271,01/12/2017,03/28/2022,0,0,U
692224962,7866,A2DKKT,NULL,2663271,01/12/2017,03/28/2022,0,0,U
692224963,8279,155309857,NULL,2663271,01/12/2017,03/28/2022,0,0,U
155389355,7291,1534140,NULL,4037743,NULL,02/07/2022,0,1,U
155389362,8279,18012316,NULL,4037743,05/06/2014,02/07/2022,0,1,U
162073214,7291,24150358,NULL,6150475,NULL,04/06/2022,0,1,U
166442626,7866,A112ZJ,NULL,6150475,12/04/2013,04/06/2022,0,1,U
